Date,Time,Width,Height
2024-07-11,09:45:03.215266,498,283
2024-07-11,09:45:03.264511,506,279
2024-07-11,09:45:03.308151,491,288
2024-07-11,09:45:03.355076,498,275
2024-07-11,09:45:03.401600,457,271
2024-07-11,09:45:03.450640,470,292
2024-07-11,09:45:03.497645,450,283
2024-07-11,09:45:03.548914,484,288
2024-07-11,09:45:03.688796,491,275
2024-07-11,09:45:03.778750,513,279
2024-07-11,09:45:03.824897,506,275
2024-07-11,09:45:03.874275,513,283
2024-07-11,09:45:03.920294,484,279
2024-07-11,09:45:03.967271,506,288
2024-07-11,09:45:04.018323,520,288
2024-07-11,09:45:04.061012,506,288
2024-07-11,09:45:04.107717,520,283
2024-07-11,09:45:04.155624,536,300
2024-07-11,09:45:04.911095,450,139
2024-07-11,09:45:05.140254,450,288
2024-07-11,09:45:05.183361,437,283
2024-07-11,09:45:05.232625,431,283
2024-07-11,09:45:05.504992,109,11
2024-07-11,09:45:06.355632,444,305
2024-07-11,09:45:06.400124,418,300
2024-07-11,09:45:06.860944,425,296
2024-07-11,09:45:06.904679,431,300
2024-07-11,09:45:06.948473,463,309
2024-07-11,09:45:06.992902,463,314
2024-07-11,09:45:07.038955,457,309
2024-07-11,09:45:07.084514,437,305
2024-07-11,09:45:07.219188,431,292
2024-07-11,09:45:07.219757,49,12
2024-07-11,09:45:07.348893,75,10
2024-07-11,09:45:07.390658,64,12
2024-07-11,09:45:07.435510,61,12
2024-07-11,09:45:07.482802,63,12
2024-07-11,09:45:07.526480,79,12
2024-07-11,09:45:07.571549,83,12
2024-07-11,09:45:07.620290,79,13
2024-07-11,09:45:07.753711,96,11
2024-07-11,09:45:07.798042,89,25
2024-07-11,09:45:08.646614,520,296
2024-07-11,09:45:08.693893,535,296
2024-07-11,09:45:08.741501,543,304
2024-07-11,09:45:09.641053,443,159
2024-07-11,09:45:09.735518,431,157
2024-07-11,09:45:09.779945,412,171
2024-07-11,09:45:09.828491,400,178
2024-07-11,09:45:09.922843,407,231
2024-07-11,09:45:09.973846,457,228
2024-07-11,09:45:10.025120,401,252
2024-07-11,09:45:10.070219,389,279
2024-07-11,09:45:10.122315,389,275
2024-07-11,09:45:10.165023,389,279
2024-07-11,09:45:10.214835,362,275
2024-07-11,09:45:10.261271,362,275
2024-07-11,09:45:10.310889,341,279
2024-07-11,09:45:13.451596,111,11
2024-07-11,09:45:15.071080,98,225
2024-07-11,09:45:16.556505,194,206
2024-07-11,09:45:16.603516,235,221
2024-07-11,09:45:16.896834,278,292
2024-07-11,09:45:18.642583,444,271
2024-07-11,09:45:18.690677,401,271
2024-07-11,09:45:18.735759,401,260
2024-07-11,09:45:18.783906,362,271
2024-07-11,09:45:18.829941,346,275
2024-07-11,09:45:18.878522,336,271
2024-07-11,09:45:18.929658,341,279
2024-07-11,09:45:18.977006,341,292
2024-07-11,09:45:19.021951,341,288
2024-07-11,09:45:19.069895,341,288
2024-07-11,09:45:19.116288,327,279
2024-07-11,09:45:19.160648,327,271
2024-07-11,09:45:19.212755,336,279
2024-07-11,09:45:19.258160,357,296
2024-07-11,09:45:19.303989,357,328
2024-07-11,09:45:19.353629,406,337
2024-07-11,09:45:19.400219,351,283
2024-07-11,09:45:19.449075,418,300
2024-07-11,09:45:19.499839,395,283
2024-07-11,09:45:19.547646,444,300
2024-07-11,09:45:19.594671,484,347
2024-07-11,09:45:19.645560,457,314
2024-07-11,09:45:19.691644,457,296
2024-07-11,09:45:19.741850,484,279
2024-07-11,09:45:19.787958,498,271
2024-07-11,09:45:19.835350,498,263
2024-07-11,09:45:19.879357,498,263
2024-07-11,09:45:19.926696,463,245
2024-07-11,09:45:19.973766,463,249
2024-07-11,09:45:20.021210,457,252
2024-07-11,09:45:20.071655,425,260
2024-07-11,09:45:20.119929,450,275
2024-07-11,09:45:20.167023,412,275
2024-07-11,09:45:20.214686,425,275
2024-07-11,09:45:20.263664,401,296
2024-07-11,09:45:20.311573,373,347
2024-07-11,09:45:20.355857,341,337
2024-07-11,09:45:20.404548,362,323
2024-07-11,09:45:20.452157,346,328
2024-07-11,09:45:20.504054,378,333
2024-07-11,09:45:20.550693,367,318
2024-07-11,09:45:20.607204,418,385
2024-07-11,09:45:20.652345,437,328
2024-07-11,09:45:20.699618,463,332
2024-07-11,09:45:20.845609,395,235
2024-07-11,09:45:20.985245,513,171
2024-07-11,09:45:21.613138,431,231
2024-07-11,09:45:21.704403,504,480
2024-07-11,09:45:21.705687,418,318
2024-07-11,09:45:21.750974,550,425
2024-07-11,09:45:21.800941,527,368
2024-07-11,09:45:21.802118,373,245
2024-07-11,09:45:21.846458,437,305
2024-07-11,09:45:21.894540,450,292
2024-07-11,09:45:21.941048,527,313
2024-07-11,09:45:21.989311,425,314
2024-07-11,09:45:22.039890,406,178
2024-07-11,09:45:22.041054,357,337
2024-07-11,09:45:22.083099,346,271
2024-07-11,09:45:22.129997,346,323
2024-07-11,09:45:22.183647,327,309
2024-07-11,09:45:22.231739,317,300
2024-07-11,09:45:22.275187,332,300
2024-07-11,09:45:22.324667,322,300
2024-07-11,09:45:22.369332,327,300
2024-07-11,09:45:22.418074,341,288
2024-07-11,09:45:22.463755,357,253
2024-07-11,09:45:22.510012,373,242
2024-07-11,09:45:22.560550,384,279
2024-07-11,09:45:22.609893,389,279
2024-07-11,09:45:22.656788,395,292
2024-07-11,09:45:22.703839,384,288
2024-07-11,09:45:22.751916,384,288
2024-07-11,09:45:22.798263,378,288
2024-07-11,09:45:22.841309,395,283
2024-07-11,09:45:22.889975,384,271
2024-07-11,09:45:22.939292,389,267
2024-07-11,09:45:22.985041,373,256
2024-07-11,09:45:23.035607,373,260
2024-07-11,09:45:23.080610,367,267
2024-07-11,09:45:23.127388,362,260
2024-07-11,09:45:23.181262,367,263
2024-07-11,09:45:23.228038,389,256
2024-07-11,09:45:23.274865,395,260
2024-07-11,09:45:23.320441,400,216
2024-07-11,09:45:23.366970,406,225
2024-07-11,09:45:23.414164,406,256
2024-07-11,09:45:23.459604,412,275
2024-07-11,09:45:23.506600,412,288
2024-07-11,09:45:23.555858,395,209
2024-07-11,09:45:23.600304,406,275
2024-07-11,09:45:23.647958,401,271
2024-07-11,09:45:23.696653,406,279
2024-07-11,09:45:23.743733,406,267
2024-07-11,09:45:23.795235,406,275
2024-07-11,09:45:23.843613,406,296
2024-07-11,09:45:23.889632,389,292
2024-07-11,09:45:23.941163,395,314
2024-07-11,09:45:23.989133,401,283
2024-07-11,09:45:24.039243,406,292
2024-07-11,09:45:24.088343,401,292
2024-07-11,09:45:24.134504,412,279
2024-07-11,09:45:24.178760,418,271
2024-07-11,09:45:24.226799,389,300
2024-07-11,09:45:24.274445,395,296
2024-07-11,09:45:24.325112,395,283
2024-07-11,09:45:24.372988,401,292
2024-07-11,09:45:24.422112,401,279
2024-07-11,09:45:24.467635,401,314
2024-07-11,09:45:24.514191,406,305
2024-07-11,09:45:24.565334,406,323
2024-07-11,09:45:24.610926,406,323
2024-07-11,09:45:24.657926,412,328
2024-07-11,09:45:24.703201,406,305
2024-07-11,09:45:24.749780,424,318
2024-07-11,09:45:24.796032,401,333
2024-07-11,09:45:24.843286,395,323
2024-07-11,09:45:24.888973,401,323
2024-07-11,09:45:24.939342,437,332
2024-07-11,09:45:24.984599,437,342
2024-07-11,09:45:25.030996,346,347
2024-07-11,09:45:25.075739,351,323
2024-07-11,09:45:25.125373,351,337
2024-07-11,09:45:25.169731,378,358
2024-07-11,09:45:25.218818,378,363
2024-07-11,09:45:25.269083,384,368
2024-07-11,09:45:25.315886,425,450
2024-07-11,09:45:25.365592,378,374
2024-07-11,09:45:25.410742,341,333
2024-07-11,09:45:25.457677,346,342
2024-07-11,09:45:25.503162,346,352
2024-07-11,09:45:25.694443,267,292
2024-07-11,09:45:25.694985,309,480
2024-07-11,09:45:25.743989,215,260
2024-07-11,09:45:25.788040,183,228
2024-07-11,09:45:25.833671,141,218
2024-07-11,09:45:25.877471,124,209
2024-07-11,09:45:26.864844,78,70
2024-07-11,09:45:27.488930,52,14
2024-07-11,09:45:27.583766,50,14
2024-07-11,09:45:27.676777,53,14
2024-07-11,09:45:27.723938,53,15
2024-07-11,09:45:28.174168,71,65
2024-07-11,09:45:28.219258,60,84
2024-07-11,09:45:28.265531,68,68
2024-07-11,09:45:28.314484,58,84
2024-07-11,09:45:28.364833,58,83
2024-07-11,09:45:32.332251,218,279
2024-07-11,09:45:32.379671,241,276
2024-07-11,09:45:32.429120,203,238
2024-07-11,09:45:32.520961,215,309
2024-07-11,09:45:32.568871,194,245
2024-07-11,09:45:32.616143,176,252
2024-07-11,09:45:32.711486,178,288
2024-07-11,09:45:32.804515,192,271
2024-07-11,09:45:32.852350,197,271
2024-07-11,09:45:32.898920,212,245
2024-07-11,09:45:32.946121,197,252
2024-07-11,09:45:32.995205,197,264
2024-07-11,09:45:33.044932,189,275
2024-07-11,09:45:33.094119,206,260
2024-07-11,09:45:33.143189,209,260
2024-07-11,09:45:33.190379,228,264
2024-07-11,09:45:33.235361,238,279
2024-07-11,09:45:33.282832,248,288
2024-07-11,09:45:33.333047,248,301
2024-07-11,09:45:33.379530,212,264
2024-07-11,09:45:33.426603,228,323
2024-07-11,09:45:33.474927,235,300
2024-07-11,09:45:33.523457,209,275
2024-07-11,09:45:34.110837,173,309
2024-07-11,09:45:34.154786,176,305
2024-07-11,09:45:34.298844,288,342
2024-07-11,09:45:34.343877,296,296
2024-07-11,09:45:34.529012,351,300
2024-07-11,09:45:37.178594,64,11
2024-07-11,09:45:37.223192,84,12
2024-07-11,09:45:38.200371,43,19
2024-07-11,09:45:38.248386,45,20
2024-07-11,09:45:38.297502,45,20
2024-07-11,09:45:42.432759,92,11
2024-07-11,09:45:42.569282,395,256
2024-07-11,09:45:42.615123,395,245
2024-07-11,09:45:42.845360,389,241
2024-07-11,09:45:43.073704,395,253
2024-07-11,09:45:43.341161,327,268
2024-07-11,09:45:43.342009,93,11
2024-07-11,09:45:43.480391,263,256
2024-07-11,09:45:43.480954,104,11
2024-07-11,09:45:43.573085,252,276
2024-07-11,09:45:43.667462,76,13
2024-07-11,09:45:43.850913,357,252
2024-07-11,09:45:43.851490,100,14
2024-07-11,09:45:43.942478,347,249
2024-07-11,09:45:43.944490,94,15
2024-07-11,09:45:43.990416,362,249
2024-07-11,09:45:44.081196,352,249
2024-07-11,09:45:44.129229,373,256
2024-07-11,09:45:44.175217,357,249
2024-07-11,09:45:44.226239,357,249
2024-07-11,09:45:44.229788,108,14
2024-07-11,09:45:44.274018,362,253
2024-07-11,09:45:44.322953,368,260
2024-07-11,09:45:44.417992,100,12
2024-07-11,09:45:44.465782,384,241
2024-07-11,09:45:44.466643,100,11
2024-07-11,09:45:44.696983,336,267
2024-07-11,09:45:44.743253,313,260
2024-07-11,09:45:44.837828,283,292
2024-07-11,09:45:44.884080,283,296
2024-07-11,09:45:44.934970,271,284
2024-07-11,09:45:44.935714,323,276
2024-07-11,09:45:44.985215,267,296
2024-07-11,09:45:44.985767,323,264
2024-07-11,09:45:45.351465,373,288
2024-07-11,09:45:45.399846,373,280
2024-07-11,09:45:45.447854,390,276
2024-07-11,09:45:45.492317,357,284
2024-07-11,09:45:45.717863,444,252
2024-07-11,09:45:47.543015,80,53
2024-07-11,09:45:47.636264,66,26
2024-07-11,09:45:47.682828,64,24
2024-07-11,09:45:47.776941,412,186
2024-07-11,09:45:47.824209,450,184
2024-07-11,09:45:47.873991,431,198
2024-07-11,09:45:47.920609,443,178
2024-07-11,09:45:48.239645,395,333
2024-07-11,09:45:48.775995,90,48
2024-07-11,09:45:49.579485,63,25
2024-07-11,09:45:49.984260,52,24
2024-07-11,09:45:50.120000,62,26
2024-07-11,09:45:51.105314,69,26
2024-07-11,09:45:51.203764,66,26
2024-07-11,09:45:52.507959,94,57
2024-07-11,09:45:52.552690,97,57
2024-07-11,09:45:55.125368,84,57
2024-07-11,09:45:55.174154,450,309
2024-07-11,09:45:55.227311,477,296
2024-07-11,09:45:55.273636,463,279
2024-07-11,09:45:55.365828,470,288
2024-07-11,09:45:55.596909,457,283
2024-07-11,09:45:56.174508,450,212
2024-07-11,09:45:56.222324,456,216
2024-07-11,09:45:56.360376,456,200
2024-07-11,09:45:57.449150,283,310
2024-07-11,09:45:58.025347,318,348
2024-07-11,09:45:58.123036,309,338
2024-07-11,09:45:58.167710,313,343
2024-07-11,09:45:58.260901,304,271
2024-07-11,09:45:58.358207,323,310
2024-07-11,09:45:58.451776,327,288
2024-07-11,09:45:58.496464,322,275
2024-07-11,09:45:58.547789,327,271
2024-07-11,09:45:58.680497,368,235
2024-07-11,09:45:58.776483,357,260
2024-07-11,09:45:58.823944,332,225
2024-07-11,09:45:58.873493,327,242
2024-07-11,09:45:58.921392,362,263
2024-07-11,09:45:58.971274,337,256
2024-07-11,09:45:59.065653,336,271
2024-07-11,09:45:59.156925,425,271
2024-07-11,09:45:59.209067,362,267
2024-07-11,09:45:59.305456,425,271
2024-07-11,09:45:59.399836,470,275
2024-07-11,09:45:59.683795,395,279
2024-07-11,09:45:59.728756,450,288
2024-07-11,09:45:59.776339,431,283
2024-07-11,09:45:59.825873,425,292
2024-07-11,09:45:59.869465,463,283
2024-07-11,09:45:59.917583,463,300
2024-07-11,09:45:59.965279,457,288
2024-07-11,09:46:00.013799,498,309
2024-07-11,09:46:00.058508,477,305
2024-07-11,09:46:00.108038,444,296
2024-07-11,09:46:00.162307,498,305
2024-07-11,09:46:00.206370,520,314
2024-07-11,09:46:00.251490,484,314
2024-07-11,09:46:00.297246,498,314
2024-07-11,09:46:00.343372,513,314
2024-07-11,09:46:00.390343,437,314
2024-07-11,09:46:00.437222,444,305
2024-07-11,09:46:00.482814,437,323
2024-07-11,09:46:00.529015,444,323
2024-07-11,09:46:00.623892,437,323
2024-07-11,09:46:00.669228,418,328
2024-07-11,09:46:00.717296,418,305
2024-07-11,09:46:00.760406,425,314
2024-07-11,09:46:00.807763,425,318
2024-07-11,09:46:00.856554,418,318
2024-07-11,09:46:00.902582,418,318
2024-07-11,09:46:00.952040,418,318
2024-07-11,09:46:00.995254,418,309
2024-07-11,09:46:01.046364,412,318
2024-07-11,09:46:01.094036,418,318
2024-07-11,09:46:01.142945,389,314
2024-07-11,09:46:01.190140,395,314
2024-07-11,09:46:01.234524,401,314
2024-07-11,09:46:01.281390,418,323
2024-07-11,09:46:01.327713,401,314
2024-07-11,09:46:01.376027,418,318
2024-07-11,09:46:01.426085,401,314
2024-07-11,09:46:01.472835,418,318
2024-07-11,09:46:01.520804,431,323
2024-07-11,09:46:01.565887,425,323
2024-07-11,09:46:01.609703,406,318
2024-07-11,09:46:01.659955,412,314
2024-07-11,09:46:01.705251,418,318
2024-07-11,09:46:01.752593,431,318
2024-07-11,09:46:01.799363,425,323
2024-07-11,09:46:01.845828,401,314
2024-07-11,09:46:01.895551,389,318
2024-07-11,09:46:01.940711,401,305
2024-07-11,09:46:01.988089,412,314
2024-07-11,09:46:02.035581,384,309
2024-07-11,09:46:02.081761,406,309
2024-07-11,09:46:02.130094,389,309
2024-07-11,09:46:02.178047,406,309
2024-07-11,09:46:02.222494,406,309
2024-07-11,09:46:02.274293,412,309
2024-07-11,09:46:02.326468,395,296
2024-07-11,09:46:02.369635,384,305
2024-07-11,09:46:02.418353,389,296
2024-07-11,09:46:02.470482,412,300
2024-07-11,09:46:02.515866,389,305
2024-07-11,09:46:02.559877,389,300
2024-07-11,09:46:02.609237,395,309
2024-07-11,09:46:02.653501,401,300
2024-07-11,09:46:02.704925,401,309
2024-07-11,09:46:02.750683,395,309
2024-07-11,09:46:02.797202,395,305
2024-07-11,09:46:02.847618,401,309
2024-07-11,09:46:02.893592,401,309
2024-07-11,09:46:02.939302,425,314
2024-07-11,09:46:02.989127,437,309
2024-07-11,09:46:03.038345,412,309
2024-07-11,09:46:03.086378,450,314
2024-07-11,09:46:03.131140,444,323
2024-07-11,09:46:03.176640,437,318
2024-07-11,09:46:03.225413,450,318
2024-07-11,09:46:03.270600,457,318
2024-07-11,09:46:03.317598,450,309
2024-07-11,09:46:03.364131,425,309
2024-07-11,09:46:03.413234,431,323
2024-07-11,09:46:03.461493,444,318
2024-07-11,09:46:03.510702,406,309
2024-07-11,09:46:03.557604,412,309
2024-07-11,09:46:03.607238,389,305
2024-07-11,09:46:03.652519,412,314
2024-07-11,09:46:03.698591,401,309
2024-07-11,09:46:03.749773,401,309
2024-07-11,09:46:03.799512,425,309
2024-07-11,09:46:03.844293,412,314
2024-07-11,09:46:03.889871,406,309
2024-07-11,09:46:03.933307,395,309
2024-07-11,09:46:03.979420,412,309
2024-07-11,09:46:04.029622,406,309
2024-07-11,09:46:04.077084,406,314
2024-07-11,09:46:04.124874,406,318
2024-07-11,09:46:04.169650,444,328
2024-07-11,09:46:04.223703,425,318
2024-07-11,09:46:04.272981,425,318
2024-07-11,09:46:04.319296,437,323
2024-07-11,09:46:04.366113,431,318
2024-07-11,09:46:04.415288,437,323
2024-07-11,09:46:04.459172,412,323
2024-07-11,09:46:04.503013,444,328
2024-07-11,09:46:04.551394,431,318
2024-07-11,09:46:04.599970,431,318
2024-07-11,09:46:04.648006,450,318
2024-07-11,09:46:04.691377,412,314
2024-07-11,09:46:04.740845,431,314
2024-07-11,09:46:04.787572,418,318
2024-07-11,09:46:04.837299,425,318
2024-07-11,09:46:04.885233,425,318
2024-07-11,09:46:04.931207,412,314
2024-07-11,09:46:04.983021,431,309
2024-07-11,09:46:05.031958,425,309
2024-07-11,09:46:05.075780,425,318
2024-07-11,09:46:05.124050,412,323
2024-07-11,09:46:05.175339,418,328
2024-07-11,09:46:05.222756,418,318
2024-07-11,09:46:05.265964,437,318
2024-07-11,09:46:05.316409,437,328
2024-07-11,09:46:05.362776,437,318
2024-07-11,09:46:05.409443,418,318
2024-07-11,09:46:05.454885,425,318
2024-07-11,09:46:05.501094,425,318
2024-07-11,09:46:05.550999,412,318
2024-07-11,09:46:05.596177,406,323
2024-07-11,09:46:05.645537,412,318
2024-07-11,09:46:05.693367,418,323
2024-07-11,09:46:05.739300,418,323
2024-07-11,09:46:05.786326,418,318
2024-07-11,09:46:05.830514,425,318
2024-07-11,09:46:05.880636,431,328
2024-07-11,09:46:05.924057,431,318
2024-07-11,09:46:05.973024,412,309
2024-07-11,09:46:06.020840,412,318
2024-07-11,09:46:06.072431,425,323
2024-07-11,09:46:06.116918,418,314
2024-07-11,09:46:06.163025,401,318
2024-07-11,09:46:06.214062,412,318
2024-07-11,09:46:06.262436,431,318
2024-07-11,09:46:06.311190,437,318
2024-07-11,09:46:06.359670,418,328
2024-07-11,09:46:06.403821,418,318
2024-07-11,09:46:06.452133,412,328
2024-07-11,09:46:06.499850,412,328
2024-07-11,09:46:06.547593,406,337
2024-07-11,09:46:06.598174,418,323
2024-07-11,09:46:06.642014,418,318
2024-07-11,09:46:06.689015,406,333
2024-07-11,09:46:06.736663,418,323
2024-07-11,09:46:06.782251,406,323
2024-07-11,09:46:06.827808,418,323
2024-07-11,09:46:06.878765,418,318
2024-07-11,09:46:06.931627,418,318
2024-07-11,09:46:06.976705,437,318
2024-07-11,09:46:07.026778,425,323
2024-07-11,09:46:07.076872,425,323
2024-07-11,09:46:07.124717,418,323
2024-07-11,09:46:07.173370,425,323
2024-07-11,09:46:07.219126,425,323
2024-07-11,09:46:07.264807,425,318
2024-07-11,09:46:07.310852,431,323
2024-07-11,09:46:07.359671,431,323
2024-07-11,09:46:07.407339,431,314
2024-07-11,09:46:07.459964,437,318
2024-07-11,09:46:07.503802,412,300
2024-07-11,09:46:07.551795,406,305
2024-07-11,09:46:07.599275,437,309
2024-07-11,09:46:07.642535,406,305
2024-07-11,09:46:07.694485,406,309
2024-07-11,09:46:07.737285,401,309
2024-07-11,09:46:07.788024,406,309
2024-07-11,09:46:07.830923,418,314
2024-07-11,09:46:07.882759,412,309
2024-07-11,09:46:07.928407,412,305
2024-07-11,09:46:07.977778,406,309
2024-07-11,09:46:08.024852,406,309
2024-07-11,09:46:08.069184,406,314
2024-07-11,09:46:08.118613,401,309
2024-07-11,09:46:08.161199,401,309
2024-07-11,09:46:08.211426,406,309
2024-07-11,09:46:08.259294,401,309
2024-07-11,09:46:08.306454,425,314
2024-07-11,09:46:08.355723,406,309
2024-07-11,09:46:08.403043,395,309
2024-07-11,09:46:08.448544,412,309
2024-07-11,09:46:08.493464,406,309
2024-07-11,09:46:08.538045,406,309
2024-07-11,09:46:08.583434,401,300
2024-07-11,09:46:08.632759,395,314
2024-07-11,09:46:08.677613,406,314
2024-07-11,09:46:08.728493,406,314
2024-07-11,09:46:08.773193,412,314
2024-07-11,09:46:08.819153,412,309
2024-07-11,09:46:08.870035,406,314
2024-07-11,09:46:08.913452,401,314
2024-07-11,09:46:08.964375,395,314
2024-07-11,09:46:09.010743,401,314
2024-07-11,09:46:09.057410,406,314
2024-07-11,09:46:09.104919,418,314
2024-07-11,09:46:09.150553,389,309
2024-07-11,09:46:09.197678,395,314
2024-07-11,09:46:09.245232,395,318
2024-07-11,09:46:09.294037,389,309
2024-07-11,09:46:09.342010,401,309
2024-07-11,09:46:09.389693,406,309
2024-07-11,09:46:09.440181,406,309
2024-07-11,09:46:09.481792,389,305
2024-07-11,09:46:09.531742,418,309
2024-07-11,09:46:09.578740,412,305
2024-07-11,09:46:09.626660,406,309
2024-07-11,09:46:09.672719,401,309
2024-07-11,09:46:09.722769,406,300
2024-07-11,09:46:09.769884,412,300
